Date,Open,High,Low,Close,Volume
3/10/2022 16:00,160.2,160.39,155.98,158.52,105342033
3/11/2022 16:00,158.93,159.28,154.5,154.73,96970102
3/14/2022 16:00,151.45,154.12,150.1,150.62,108732111
3/15/2022 16:00,150.9,155.57,150.38,155.09,92964302
3/16/2022 16:00,157.05,160,154.46,159.59,102300157
3/17/2022 16:00,158.61,161,157.63,160.62,75615376
3/18/2022 16:00,160.51,164.48,159.76,163.98,123511692
3/21/2022 16:00,163.51,166.35,163.01,165.38,95811352
3/22/2022 16:00,165.51,169.42,164.91,168.82,81532007
3/23/2022 16:00,167.99,172.64,167.65,170.21,98062674
3/24/2022 16:00,171.06,174.14,170.21,174.07,90131418
3/25/2022 16:00,173.88,175.28,172.75,174.72,80546156
3/28/2022 16:00,172.17,175.73,172,175.6,90371916
3/29/2022 16:00,176.69,179.01,176.34,178.96,100589440
3/30/2022 16:00,178.55,179.61,176.7,177.77,92633154
3/31/2022 16:00,177.84,178.03,174.4,174.61,103049285
4/1/2022 16:00,174.03,174.88,171.94,174.31,78751328
4/4/2022 16:00,174.57,178.49,174.44,178.44,76545983
4/5/2022 16:00,177.5,178.3,174.42,175.06,73401786
4/6/2022 16:00,172.36,173.63,170.13,171.83,89058782
4/7/2022 16:00,171.16,173.36,169.85,172.14,77594650
4/8/2022 16:00,171.78,171.78,169.2,170.09,76575508
4/11/2022 16:00,168.71,169.03,165.5,165.75,72246706
4/12/2022 16:00,168.02,169.87,166.64,167.66,79265181
4/13/2022 16:00,167.39,171.04,166.77,170.4,70618925
4/14/2022 16:00,170.62,171.27,165.04,165.29,75329376
4/18/2022 16:00,163.92,166.6,163.57,165.07,69023941
4/19/2022 16:00,165.02,167.82,163.91,167.4,67723833
4/20/2022 16:00,168.76,168.88,166.1,167.23,67929814
4/21/2022 16:00,168.91,171.53,165.91,166.42,87227768
4/22/2022 16:00,166.46,167.87,161.5,161.79,84882424
4/25/2022 16:00,161.12,163.17,158.46,162.88,96046376
4/26/2022 16:00,162.25,162.34,156.72,156.8,95623240
4/27/2022 16:00,155.91,159.79,155.38,156.57,88063191
4/28/2022 16:00,159.25,164.52,158.93,163.64,130216792
4/29/2022 16:00,161.84,166.2,157.25,157.65,131747571
5/2/2022 16:00,156.71,158.23,153.27,157.96,123055265
5/3/2022 16:00,158.15,160.71,156.32,159.48,88966526
5/4/2022 16:00,159.67,166.48,159.26,166.02,108256503
5/5/2022 16:00,163.85,164.08,154.95,156.77,130525275
5/6/2022 16:00,156.01,159.44,154.18,157.28,116124647
5/9/2022 16:00,154.93,155.83,151.49,152.06,131577921
5/10/2022 16:00,155.52,156.74,152.93,154.51,115366736
5/11/2022 16:00,153.5,155.45,145.81,146.5,142689825
5/12/2022 16:00,142.77,146.2,138.8,142.56,182602041
5/13/2022 16:00,144.59,148.1,143.11,147.11,113990852
5/16/2022 16:00,145.55,147.52,144.18,145.54,86643781
5/17/2022 16:00,148.86,149.77,146.68,149.24,78336254
5/18/2022 16:00,146.85,147.36,139.9,140.82,109742890
5/19/2022 16:00,139.88,141.66,136.6,137.35,136095640
5/20/2022 16:00,139.09,140.7,132.61,137.59,137426125
5/23/2022 16:00,137.79,143.26,137.65,143.11,117726265
5/24/2022 16:00,140.81,141.97,137.33,140.36,104132746
5/25/2022 16:00,138.43,141.79,138.34,140.52,92482696
5/26/2022 16:00,137.39,144.34,137.14,143.78,90601548
5/27/2022 16:00,145.39,149.68,145.26,149.64,90978503
5/31/2022 16:00,149.07,150.66,146.84,148.84,103718416
6/1/2022 16:00,149.9,151.74,147.68,148.71,74286635
6/2/2022 16:00,147.83,151.27,146.86,151.21,72348055
6/3/2022 16:00,146.9,147.97,144.46,145.38,88570289
6/6/2022 16:00,147.03,148.57,144.9,146.14,71598380
6/7/2022 16:00,144.35,149,144.1,148.71,67808150
6/8/2022 16:00,148.58,149.87,147.46,147.96,53950201
6/9/2022 16:00,147.08,147.95,142.53,142.64,69472976
6/10/2022 16:00,140.28,140.76,137.06,137.13,91566637
6/13/2022 16:00,132.87,135.2,131.44,131.88,122207099
6/14/2022 16:00,133.13,133.89,131.48,132.76,84784326
6/15/2022 16:00,134.29,137.34,132.16,135.43,91532972
6/16/2022 16:00,132.08,132.39,129.04,130.06,107961508
6/17/2022 16:00,130.07,133.08,129.81,131.56,134520290
6/21/2022 16:00,133.42,137.06,133.32,135.87,81000488
6/22/2022 16:00,134.79,137.76,133.91,135.35,73409234
6/23/2022 16:00,136.82,138.59,135.63,138.27,72433768
6/24/2022 16:00,139.9,141.91,139.77,141.66,89116837
6/27/2022 16:00,142.7,143.49,140.97,141.66,70207908
6/28/2022 16:00,142.13,143.42,137.32,137.44,67315328
6/29/2022 16:00,137.46,140.67,136.67,139.23,66242411
